"Dwellings approved, by building type (a)",,,,
,Seasonally adjusted - Private sector houses (no.),Trend - Private sector houses (no.),Seasonally adjusted - Private sector dwellings excluding houses (no.),Trend - Private sector dwellings excluding houses (no.)
Jul-19,"8,593","8,651","4,753","5,210"
Aug-19,"8,540","8,605","5,135","5,309"
Sep-19,"8,718","8,549","5,605","5,533"
Oct-19,"8,270","8,512","6,077","5,743"
Nov-19,"8,474","8,512","6,120","5,914"
Dec-19,"8,652","8,546","7,186","6,005"
Jan-20,"8,647","8,588","4,649","5,934"
Feb-20,"8,675","8,627","7,233","5,722"
Mar-20,"8,576","8,660","6,609","5,456"
Apr-20,"8,796","8,703","5,816","5,186"
May-20,"8,855","8,804","4,215","4,974"
Jun-20,"8,372","9,024","4,146","4,858"
Jul-20,"9,284","9,382","5,662","4,890"
Aug-20,"9,613","9,873","4,550","5,038"
Sep-20,"10,534","10,448","5,103","5,205"
Oct-20,"11,207","11,028","5,949","5,342"
Nov-20,"11,517","11,534","5,740","5,452"
Dec-20,"13,381","11,886","5,764","5,605"
Jan-21,"12,179","12,049","4,482","5,867"
Feb-21,"13,974","14,119","5,538","6,189"
Mar-21,"14,051","13,911","8,500","6,461"
Apr-21,"13,574","13,549","6,254","6,684"
May-21,"13,660","13,051","6,768","6,782"
Jun-21,"12,544","12,470","6,921","6,717"
Jul-21,"11,992","11,871","6,125","6,609"
Aug-21,"12,029","11,311","6,763","6,494"
Sep-21,"10,466","10,834","7,570","6,452"
Oct-21,"10,475","10,467","5,298","6,434"
Nov-21,"10,394","10,207","5,573","6,333"
Dec-21,"9,980","10,033","7,023","6,190"
Jan-22,"8,630","9,916","4,389","6,071"
Feb-22,"9,817","9,817","7,353","5,941"
Mar-22,"9,782","9,746","5,241","5,823"
Apr-22,"9,740","9,726","5,351","5,751"
May-22,"9,611","9,754","6,706","5,768"
Jun-22,"9,737","9,791","6,634","5,846"
Jul-22,"9,723","9,814","4,225","5,973"
Aug-22,"10,238","9,765","7,173","6,140"
Sep-22,"9,487","9,605","6,644","6,285"
Oct-22,"9,321","9,346","5,836","6,267"
Nov-22,"9,119","9,030","5,550","6,042"
Dec-22,"8,907","8,721","7,713","5,658"
Jan-23,"7,763","8,475","4,407","5,246"
Feb-23,"8,591","8,320","4,244","4,960"
Mar-23,"8,348","8,236","4,602","4,876"
Apr-23,"8,116","8,183","4,159","4,894"
May-23,"8,153","8,142","6,634","4,972"
Jun-23,"8,075","8,104","5,184","5,019"
Jul-23,"8,084","8,105","4,367","5,190"
,,,,
"Source: Australian Bureau of Statistics, Building Approvals, Australia July 2023",,,,
